Length Training Data: 7942
Length Testing Data: 128
Epoch: 5 / 10 | Training Loss: 1.2783 | eta: 0.003546
Epoch: 5 / 10 | Training Loss: 1.3247 | eta: 0.003542
Epoch: 5 / 10 | Training Loss: 1.3049 | eta: 0.003539
Epoch: 5 / 10 | Training Loss: 1.3352 | eta: 0.003535
Epoch: 5 / 10 | Training Loss: 1.3276 | eta: 0.003532
Epoch: 5 / 10 | Training Loss: 1.3780 | eta: 0.003528
Epoch: 5 / 10 | Training Loss: 1.3933 | eta: 0.003525
Epoch: 5 / 10 | Training Loss: 1.2539 | eta: 0.003521
Epoch: 5 / 10 | Training Loss: 1.3073 | eta: 0.003518
Epoch: 5 / 10 | Training Loss: 1.3850 | eta: 0.003514
Epoch: 5 / 10 | Training Loss: 1.3482 | eta: 0.003510
Epoch: 5 / 10 | Training Loss: 1.2867 | eta: 0.003507
Epoch: 5 / 10 | Training Loss: 1.3208 | eta: 0.003503
Epoch: 5 / 10 | Training Loss: 1.2461 | eta: 0.003500
Epoch: 5 / 10 | Training Loss: 1.3806 | eta: 0.003496
Epoch: 5 / 10 | Training Loss: 1.2841 | eta: 0.003493
Epoch: 5 / 10 | Training Loss: 1.2963 | eta: 0.003489
Epoch: 5 / 10 | Training Loss: 1.3712 | eta: 0.003486
Epoch: 5 / 10 | Training Loss: 1.2767 | eta: 0.003483
Epoch: 5 / 10 | Training Loss: 1.2930 | eta: 0.003479
Epoch: 5 / 10 | Training Loss: 1.3843 | eta: 0.003476
Epoch: 5 / 10 | Training Loss: 1.5003 | eta: 0.003472
Epoch: 5 / 10 | Training Loss: 1.3909 | eta: 0.003469
Epoch: 5 / 10 | Training Loss: 1.3121 | eta: 0.003465
Epoch: 5 / 10 | Training Loss: 1.3482 | eta: 0.003462
Epoch: 5 / 10 | Training Loss: 1.2819 | eta: 0.003458
Epoch: 5 / 10 | Training Loss: 1.2385 | eta: 0.003455
Epoch: 5 / 10 | Training Loss: 1.3455 | eta: 0.003451
Epoch: 5 / 10 | Training Loss: 1.3683 | eta: 0.003448
Epoch: 5 / 10 | Training Loss: 1.3264 | eta: 0.003444
Epoch: 5 / 10 | Training Loss: 1.4040 | eta: 0.003441
Epoch: 5 / 10 | Training Loss: 1.2738 | eta: 0.003438
Epoch: 5 / 10 | Training Loss: 1.3498 | eta: 0.003434
Epoch: 5 / 10 | Training Loss: 1.3040 | eta: 0.003431
Epoch: 5 / 10 | Training Loss: 1.4112 | eta: 0.003427
Epoch: 5 / 10 | Training Loss: 1.4115 | eta: 0.003424
Epoch: 5 / 10 | Training Loss: 1.3538 | eta: 0.003420
Epoch: 5 / 10 | Training Loss: 1.3788 | eta: 0.003417
Epoch: 5 / 10 | Training Loss: 1.2956 | eta: 0.003414
Epoch: 5 / 10 | Training Loss: 1.2973 | eta: 0.003410
Epoch: 5 / 10 | Training Loss: 1.3896 | eta: 0.003407
Epoch: 5 / 10 | Training Loss: 1.3479 | eta: 0.003403
Epoch: 5 / 10 | Training Loss: 1.3492 | eta: 0.003400
Epoch: 5 / 10 | Training Loss: 1.3179 | eta: 0.003397
Epoch: 5 / 10 | Training Loss: 1.2946 | eta: 0.003393
Epoch: 5 / 10 | Training Loss: 1.3293 | eta: 0.003390
Epoch: 5 / 10 | Training Loss: 1.3674 | eta: 0.003386
Epoch: 5 / 10 | Training Loss: 1.4694 | eta: 0.003383
Epoch: 5 / 10 | Training Loss: 1.4091 | eta: 0.003380
Epoch: 5 / 10 | Training Loss: 1.2734 | eta: 0.003376
Epoch: 5 / 10 | Training Loss: 1.2955 | eta: 0.003373
Epoch: 5 / 10 | Training Loss: 1.3014 | eta: 0.003369
Epoch: 5 / 10 | Training Loss: 1.3039 | eta: 0.003366
