date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2020-12-26,2.240845629271384,2976581790.9964547,451697073.3795568,63429.0,82693,
2020-12-25,2.3413299795045863,3130182602.31129,883726388.2314131,63376932.0,82693,
2020-12-24,2.1935174691836283,2904277133.2260065,704950998.3132083,63304.978,82693,
2020-12-23,2.434757376710399,3219541198.7211947,583069711.8177935,63263.584,82693,
2020-12-22,2.412060557619105,3201701998.616226,820885137.9345124,63202.570846153845,82693,
2020-12-21,2.5387887647445178,3371693785.242762,824209104.7400752,63161.833333333336,82693,
2020-12-20,2.636002144892457,3443358738.816353,748563693.0243556,63138.091,82693,
2020-12-19,2.5299451738200016,3348640698.638943,604988158.0867742,64090.80769230769,82693,
2020-12-18,2.490988786484861,3306204031.8019304,684592406.3188411,65303.44230769231,82693,
2020-12-17,2.453516742524279,3256396887.5966773,600807130.0775033,65640.705,82693,
2020-12-16,2.4220453371744166,3189246848.397645,660222733.4412346,65506.56133333333,82693,
2020-12-15,2.391156038991336,3189607603.605912,427352180.86515886,65296.967615384616,85498,
2020-12-14,2.397892624660576,3175821533.564906,487379566.5113613,63973.00607692308,85498,
2020-12-13,2.304362445762845,3080009790.653537,508055825.75129527,62713.621666666666,85498,
2020-12-12,2.1923640323787943,2911427691.673098,447512892.6006563,62689.26533333334,85498,
2020-12-11,2.289417053393425,3039876060.781996,635936417.2037358,63193.61538461538,85498,
2020-12-10,2.374197685359741,3144911791.578192,930930625.2392128,64135.69733333333,85498,
2020-12-09,2.355187167514604,3131849817.3361144,539665579.7280881,64829.12753846154,85498,
2020-12-08,2.459430247671573,3261085172.2791686,459415402.6634453,10185.44230769231,85498,
2020-12-07,2.490199448140221,3315977788.266732,504739956.0372316,64841.66666666667,85498,
2020-12-06,2.553201979831045,3389049191.1052737,800832255.4607828,64774.852230769226,85498,
2020-12-05,2.3800883825375325,3145592714.571673,534437528.7589144,64689.273,85498,
2020-12-04,2.563760196544741,3398860978.962706,686728388.0201459,64590.85633333333,85498,
2020-12-02,2.451669186566328,3254965625.0847807,1260378075.83731,64495.99392307692,85498,
2020-12-01,2.4747853695403927,3266876604.814843,649635891.278546,64449.39776923077,85498,
2020-11-30,2.337898473363145,3095339699.289194,603719737.5510778,64392.23076923077,87671,
2020-11-29,2.349339846577041,3132771441.9014688,736663102.9309095,64358.42915384615,87671,
2020-11-28,2.264347982643437,3003191636.530293,745119230.8488723,64301.30266666667,87671,
2020-11-27,2.27080432699778,3001126959.689197,1305987153.5745497,64262.432,87671,
2020-11-26,2.5392035119376515,3369253329.3501444,1064860775.569716,64224.33333333333,87671,
2020-11-25,2.589710639961176,3419810544.507901,1353987814.756564,64083.58907692308,87671,68.0
2020-11-24,2.5455788954970293,3367240526.1004133,1135941707.9403453,64023.14776923077,87671,81.0
2020-11-23,2.433765443781517,3212740618.307628,742592140.7768906,64048.26923076923,87671,81.0
2020-11-22,2.4614169732483973,3289667143.164875,639774863.4772056,64001182.0,87671,76.0
2020-11-21,2.338470355062398,3103442864.5289702,525604680.1482293,63944.39366666667,87671,77.0
2020-11-20,2.189882052946191,2935524435.700424,368325649.93160737,64291.17307692308,87671,77.0
2020-11-19,2.2036855419455788,2929602619.462457,430269890.2386087,64671.51923076923,87671,84.0
2020-11-18,2.291834992655524,3035092497.603696,683788058.4587905,64721364.0,87671,78.0
2020-11-17,2.3255417626149346,3075150718.515923,599422726.7457107,65242.64069230769,87671,78.0
2020-11-16,2.245931575607312,2961237864.559188,1022337232.492075,65733.00607692308,87671,38.0
2020-11-15,2.27110188839241,3018577586.340742,1363898060.201218,65725296.0,81691,55.0
2020-11-14,2.3849272092618685,3127251803.3661246,847033279.1766648,65633.5,81691,56.0
2020-11-13,2.374546821282804,3114492005.094913,1174891954.6108549,65559955.0,81691,55.0
2020-11-12,2.357555069302592,3108459995.865307,1260686713.147772,65220.74392307692,81691,79.0
2020-11-11,2.490427261979179,3308280982.5867023,2702118986.602514,64970.70446153846,81691,76.0
2020-11-10,2.7614383166391785,3647653664.526812,2599135139.782369,64852955.0,81691,94.0
2020-11-09,2.460445351756648,3246727603.074582,1287202557.8767362,64738.90384615385,81691,94.0
2020-11-08,2.132368079487809,2830445993.7028103,1387901751.318402,64642.97469230769,81691,91.0
2020-11-07,2.3669080094566888,3151016214.6463523,2416731951.607041,64568.26533333333,81691,91.0
2020-11-06,2.112518325937221,2796122535.0700183,868355494.5826432,64420182.0,81691,93.0
2020-11-05,1.8472549271799112,2431761501.394624,472199146.9527083,64302.967615384616,81691,91.0
2020-11-04,1.8396228697357333,2397952716.5594325,475753825.3836024,64295.196333333326,81691,95.0
2020-11-03,1.784108186457274,2429272444.9158463,348417755.7607754,64267409.0,81691,95.0
2020-11-02,1.8616627726204715,2452944961.472769,394693670.89655215,64220083.0,81691,93.0
2020-11-01,1.888055910851096,2503911018.8160305,477535404.2385668,64200.80769230769,81691,95.0
2020-10-31,1.8310696407801943,2423929762.291728,951744162.1884568,64146166.0,81299,92.0
2020-10-30,1.926447398795144,2523164238.1061983,371201517.6616369,63923.23466666667,82845,92.0
