date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2021-03-27,10276.254483062798,128033180032.21564,14429725935.92076,167573.76923076922,14216,65
2021-03-26,9310.779966656282,115517737518.90218,17457410932.194458,166844.2909090909,14216,54
2021-03-25,8774.3646222648,109702858847.89027,13549386172.784191,7632.927272727273,14216,60
2021-03-24,9483.174053588573,117402490864.07085,16583349843.099762,165321273.0,14216,65
2021-03-23,9546.3084917479,119408573534.65012,13764291566.346523,7555.564769230769,14216,66
2021-03-22,10443.998993119953,129764012755.62148,11179358990.23212,7523.628538461538,14216,70
2021-03-21,10535.485085653572,131723818675.22958,15340408837.3345,161735.54453846157,14216,73
2021-03-20,10559.406106436078,131388926416.48187,13831358849.390112,160641.92307692306,14216,75
2021-03-19,10358.43075496489,128871357166.62492,13943821514.712715,7459091.0,14216,71
2021-03-18,10807.144760005827,134454827504.29848,16999808414.605572,7414068.0,14216,72
2021-03-17,10503.455413538044,130338354611.33054,16515904709.099527,157708.01533333334,14216,71
2021-03-16,10373.120305683477,129746816011.38354,22291336539.60968,7356728.0,14216,71
2021-03-15,10877.803266270485,135201923580.72446,19404260958.511826,7336137.0,14216,76
2021-03-14,11704.158269037212,146240474274.32886,28269457815.25355,156138.39366666667,14216,78
2021-03-13,10527.276996025355,130651064681.47844,23497342326.56767,155272.77530769233,14216,74
2021-03-12,11344.14957116557,140893980060.70358,22282128996.55507,154461.57692307694,14216,70
2021-03-11,11518.24475893006,143796197687.27374,27194991272.64688,153837.56984615387,14216,73
2021-03-10,12614.896148938402,156684178205.23004,24651086528.031387,153074204.0,14216,68
2021-03-09,12320.088567250665,153216579110.70715,31617938588.422897,7170.384615384615,14216,81
2021-03-08,11550.543040557362,143327296221.1602,31412588027.84228,7128.115384615385,14216,27
2021-03-07,10897.700539340362,135430885706.15898,17760519221.939404,150448.87833333336,14216,22
2021-03-06,10328.86701734084,128000127627.32275,21825586096.640408,149633.06476923075,14216,14
2021-03-05,10480.308777493216,130365854612.88272,24598914433.71048,148799.84615384616,14216,10
2021-03-04,11030.90107076416,137241561345.16368,23526423035.88512,147900.41600000003,14216,23
2021-03-03,10892.579590000218,135356485799.93668,37270591669.71035,146979.71761538464,14216,21
2021-03-02,10720.957133336056,131855915563.70786,36928955105.08215,6899.705461538462,14216,23
2021-03-01,9785.568737222133,122665694235.8296,31106193298.134697,6851.356333333333,14216,25
2021-02-28,9419.15368417824,116586414538.04152,20965688585.979523,144034.364,14216,26
2021-02-27,9055.602350614778,112117453945.55322,26539987545.806187,6728.6214615384615,14216,33
2021-02-26,9393.71101062584,117524694190.8003,22853755616.63631,6695.423076923077,14216,38
2021-02-25,10238.806305959635,127101719895.53185,33472516490.15754,141727.57692307694,14216,28
2021-02-24,10141.300060786856,125218363499.1492,47487127035.15997,140848.341,14216,23
2021-02-23,11224.76262553604,138932733987.9378,38346830568.41712,6599.985666666667,14216,28
2021-02-22,12237.530454048923,151930664369.22845,27170227039.26994,6521.435230769231,14216,21
2021-02-21,12429.782723355647,152739174893.0361,56503905090.7635,137912.955,14216,21
2021-02-20,11859.23970922353,147045526830.62057,27948913759.77611,136746.06900000002,14216,14
2021-02-19,12344.615314944194,152841530713.8429,22977885792.871,135456.53733333334,14216,13
2021-02-18,12564.189958341682,155206697946.1522,30959920596.64905,135004.26923076922,14216,15
2021-02-17,12134.017354667832,150398593080.44214,25693843748.57629,133736.2176153846,14216,17
2021-02-16,12714.471264208792,157099618692.31754,33912593039.86763,6007.734666666667,14216,24
2021-02-15,13238.589330885728,164465866182.95453,21259534173.88822,5899.038461538462,18454,27
2021-02-14,13840.528493536123,172316559118.3743,25137746412.35742,129082.98466666669,18454,24
2021-02-13,14835.270926512352,183458094970.18933,26317833549.41016,127913.03833333332,18454,23
2021-02-12,14467.99020681807,179106186042.47272,26877524919.115047,126685.85830769232,18454,20
2021-02-11,14714.047241178563,182471678540.516,51186179208.26984,125514.92915384615,18454,18
2021-02-10,13681.88612234921,169873293704.1048,30245353707.692623,124301.85633333331,18454,10
2021-02-09,13695.7355950796,168320750751.73062,45283936997.74086,5277.705,18454,18
2021-02-08,13321.423367680278,165400009818.5624,38677458643.15903,5121.560333333333,18454,21
2021-02-07,13151.221482081792,162507476736.11588,46569273946.064125,120058.67307692308,18454,27
2021-02-06,14050.493257538565,173700600571.76508,48179430792.16884,118756.5313846154,18454,22
2021-02-05,13042.145688795175,159827323710.70734,82297858955.89886,117133.47469230767,18454,22
2021-02-04,10671.903203355316,131574889349.02763,30798291663.035183,114600.34866666669,18454,10
2021-02-03,8423.078048876534,104111793739.76695,18586750646.321888,111623.51533333331,18454,14
2021-02-02,8247.961766275046,101458779421.72386,17917982691.372845,3388.477,18454,12
2021-02-01,8387.56500847456,103516180680.00412,17263138296.119118,3267.416,18454,19
